experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2024-03-20	0	WCS365	N2C3	5e-04	2.00931003134956	481.687213026329	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.71247811359058	360.943507272065	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.42900172805266	416.88675972863	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.24794695433972	426.579704620124	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.28640984748676	447.264967126994	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	0.468855173349525	316.79743728626	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	1.0039370520041	391.661968958756	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	1.44572271286491	419.675478692132	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	1.57774589581818	488.872988142565	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	1.72872393361187	417.462164861502	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	5e-04	1.56163787109299	440.215004851258	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.68476283884072	398.903305026669	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.75165328130554	457.911247279959	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-4.2641179336469	421.788971316626	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.04404812958612	289.630199776172	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.47870159223783	427.056222937672	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	0.005	-3.40019584887558	340.308656469316	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	4.1291027166548	458.591962807182	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
