plate,row,col,od_after
N2C3_WCS365_DAY7_003_a,G,5,0.2014
N2C3_WCS365_DAY7_003_a,H,5,0.1669
N2C3_WCS365_DAY7_003_a,A,6,0.1506
N2C3_WCS365_DAY7_003_a,B,6,0.0867
N2C3_WCS365_DAY7_003_a,C,6,0.0859
N2C3_WCS365_DAY7_003_a,D,6,0.0866
N2C3_WCS365_DAY7_003_a,E,6,0.0991
N2C3_WCS365_DAY7_003_a,F,6,0.1053
N2C3_WCS365_DAY7_003_a,G,6,0.1131
N2C3_WCS365_DAY7_003_a,H,6,0.0911
N2C3_WCS365_DAY7_003_a,A,7,0.2035
N2C3_WCS365_DAY7_003_a,B,7,0.1807
N2C3_WCS365_DAY7_003_a,C,7,0.1623
N2C3_WCS365_DAY7_003_a,D,7,0.198
N2C3_WCS365_DAY7_003_a,E,7,0.524
N2C3_WCS365_DAY7_003_a,F,7,0.2955
N2C3_WCS365_DAY7_003_a,G,7,0.2516
N2C3_WCS365_DAY7_003_a,H,7,0.3082
N2C3_WCS365_DAY7_003_a,A,8,0.1111
N2C3_WCS365_DAY7_003_a,B,8,0.1406
N2C3_WCS365_DAY7_003_a,C,8,0.0995
N2C3_WCS365_DAY7_003_a,D,8,0.1194
N2C3_WCS365_DAY7_003_a,E,8,0.1743
N2C3_WCS365_DAY7_003_a,F,8,0.1637
N2C3_WCS365_DAY7_003_a,G,8,0.1348
N2C3_WCS365_DAY7_003_a,H,8,0.1348
N2C3_WCS365_DAY7_003_a,A,9,0.124
N2C3_WCS365_DAY7_003_a,B,9,0.1163
N2C3_WCS365_DAY7_003_a,C,9,0.1101
N2C3_WCS365_DAY7_003_a,D,9,0.098
N2C3_WCS365_DAY7_003_a,E,9,0.1035
N2C3_WCS365_DAY7_003_a,F,9,0.1653
N2C3_WCS365_DAY7_003_a,G,9,0.1159
N2C3_WCS365_DAY7_003_a,H,9,0.1018
N2C3_WCS365_DAY7_003_a,A,10,0.1087
N2C3_WCS365_DAY7_003_a,B,10,0.1104
N2C3_WCS365_DAY7_003_a,C,10,0.136
N2C3_WCS365_DAY7_003_a,D,10,0.1235
N2C3_WCS365_DAY7_003_a,E,10,0.1025
N2C3_WCS365_DAY7_003_a,F,10,0.1228
N2C3_WCS365_DAY7_003_a,G,10,0.1142
N2C3_WCS365_DAY7_003_a,H,10,0.13
N2C3_WCS365_DAY7_003_a,A,11,0.1096
N2C3_WCS365_DAY7_003_a,B,11,0.1221
N2C3_WCS365_DAY7_003_a,C,11,0.108
N2C3_WCS365_DAY7_003_a,D,11,0.1275
N2C3_WCS365_DAY7_003_a,E,11,0.1108
N2C3_WCS365_DAY7_003_a,F,11,0.1195
N2C3_WCS365_DAY7_003_a,G,11,0.1186
N2C3_WCS365_DAY7_003_a,H,11,0.1191
N2C3_WCS365_DAY7_003_a,A,12,0.0867
N2C3_WCS365_DAY7_003_a,B,12,0.0879
N2C3_WCS365_DAY7_003_a,C,12,0.0863
N2C3_WCS365_DAY7_003_a,D,12,0.0855
N2C3_WCS365_DAY7_003_a,E,12,0.0865
N2C3_WCS365_DAY7_003_a,F,12,0.0847
N2C3_WCS365_DAY7_003_a,G,12,0.0894
N2C3_WCS365_DAY7_003_a,H,12,0.0891
N2C3_WCS365_DAY7_003_b,A,1,0.304
N2C3_WCS365_DAY7_003_b,B,1,0.3199
N2C3_WCS365_DAY7_003_b,C,1,0.3072
N2C3_WCS365_DAY7_003_b,D,1,0.2948
N2C3_WCS365_DAY7_003_b,E,1,0.3043
N2C3_WCS365_DAY7_003_b,F,1,0.2918
N2C3_WCS365_DAY7_003_b,G,1,0.3201
N2C3_WCS365_DAY7_003_b,H,1,0.3382
N2C3_WCS365_DAY7_003_b,A,2,0.238
N2C3_WCS365_DAY7_003_b,B,2,0.1323
N2C3_WCS365_DAY7_003_b,C,2,0.1299
N2C3_WCS365_DAY7_003_b,D,2,0.1253
N2C3_WCS365_DAY7_003_b,E,2,0.1782
N2C3_WCS365_DAY7_003_b,F,2,0.1378
N2C3_WCS365_DAY7_003_b,G,2,0.1872
N2C3_WCS365_DAY7_003_b,H,2,0.1216
N2C3_WCS365_DAY7_003_b,A,3,0.1851
N2C3_WCS365_DAY7_003_b,B,3,0.144
N2C3_WCS365_DAY7_003_b,C,3,0.1629
N2C3_WCS365_DAY7_003_b,D,3,0.1017
N2C3_WCS365_DAY7_003_b,E,3,0.2394
N2C3_WCS365_DAY7_003_b,F,3,0.2516
N2C3_WCS365_DAY7_003_b,G,3,0.107
N2C3_WCS365_DAY7_003_b,H,3,0.1109
N2C3_WCS365_DAY7_003_b,A,4,0.3033
N2C3_WCS365_DAY7_003_b,B,4,0.2362
N2C3_WCS365_DAY7_003_b,C,4,0.1729
N2C3_WCS365_DAY7_003_b,D,4,0.1343
N2C3_WCS365_DAY7_003_b,E,4,0.184
N2C3_WCS365_DAY7_003_b,F,4,0.1483
N2C3_WCS365_DAY7_003_b,G,4,0.1093
N2C3_WCS365_DAY7_003_b,H,4,0.1212
N2C3_WCS365_DAY7_003_b,A,5,0.1432
N2C3_WCS365_DAY7_003_b,B,5,0.1561
N2C3_WCS365_DAY7_003_b,C,5,0.1506
N2C3_WCS365_DAY7_003_b,D,5,0.1059
N2C3_WCS365_DAY7_003_b,E,5,0.2253
N2C3_WCS365_DAY7_003_b,F,5,0.1686
N2C3_WCS365_DAY7_003_b,G,5,0.1146
N2C3_WCS365_DAY7_003_b,H,5,0.1239
N2C3_WCS365_DAY7_003_b,A,6,0.0869
N2C3_WCS365_DAY7_003_b,B,6,0.0872
N2C3_WCS365_DAY7_003_b,C,6,0.0875
N2C3_WCS365_DAY7_003_b,D,6,0.0891
N2C3_WCS365_DAY7_003_b,E,6,0.0976
N2C3_WCS365_DAY7_003_b,F,6,0.1421
N2C3_WCS365_DAY7_003_b,G,6,0.1104
N2C3_WCS365_DAY7_003_b,H,6,0.0959
